p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0.0	3.46985058196322	0.757	0.031	0.0	0	LINC00507
0.0	3.38958291530117	0.926	0.084	0.0	0	CDH22
0.0	3.26925275244961	0.734	0.055	0.0	0	RP11-314P15.2
0.0	3.26350467406646	0.549	0.018	0.0	0	FAM163A
0.0	3.22289258936655	0.693	0.032	0.0	0	CTC-552D5.1
0.0	3.20328334559045	0.852	0.062	0.0	0	TESPA1
0.0	3.16670708332319	0.956	0.118	0.0	0	CBLN2
0.0	3.07126895872913	0.837	0.091	0.0	0	RP11-191L9.4
0.0	3.04940432384727	0.628	0.05	0.0	0	RP11-380P13.1
0.0	2.97922541092815	0.58	0.035	0.0	0	AC079354.1
0.0	2.95676615219617	0.467	0.016	0.0	0	CTC-419K13.1
0.0	2.94908762320405	0.98	0.143	0.0	0	CUX2
0.0	2.93621394658268	0.747	0.068	0.0	0	AC092661.1
0.0	2.93079699997624	0.931	0.111	0.0	0	SLIT3
0.0	2.87880712910088	0.636	0.041	0.0	0	ITPKA
0.0	2.85991979176591	0.432	0.021	0.0	0	SLCO2A1
0.0	2.84600342180495	0.641	0.045	0.0	0	LZTS1
0.0	2.81812086408648	0.959	0.166	0.0	0	AC019118.2
0.0	2.79350737630153	0.797	0.084	0.0	0	LY86-AS1
0.0	2.78438492082508	0.53	0.03	0.0	0	RP11-78F17.1
0.0	2.78082239421136	0.33	0.005	0.0	0	CTB-43E15.3
0.0	2.77526165237619	0.92	0.123	0.0	0	RFTN1
0.0	2.76168363287288	0.632	0.049	0.0	0	ADAMTS3
0.0	2.74925002205296	0.931	0.121	0.0	0	MLIP
0.0	2.72983448600161	0.523	0.031	0.0	0	RP11-579E24.2
0.0	2.71734480182852	0.747	0.077	0.0	0	LAMB1
0.0	2.71380031587336	0.521	0.035	0.0	0	KCNH4
0.0	2.67993722207847	0.897	0.124	0.0	0	AC007563.5
0.0	2.67934821001664	0.917	0.127	0.0	0	KIAA1211L
0.0	2.66677436815143	0.834	0.106	0.0	0	ANKRD33B
0.0	2.66213070697176	0.493	0.059	0.0	0	RP11-30J20.1
0.0	2.64594184926387	0.63	0.056	0.0	0	RP1-251M9.2
0.0	2.61155313838256	0.74	0.092	0.0	0	SLC22A10
0.0	2.60962810125025	0.947	0.167	0.0	0	AC011288.2
0.0	2.59823894591933	0.791	0.105	0.0	0	DLGAP1-AS4
0.0	2.59617951221189	0.826	0.11	0.0	0	KIAA1239
0.0	2.57285821444169	0.615	0.054	0.0	0	GLRA3
0.0	2.56782434975605	0.36	0.009	0.0	0	CNGB1
0.0	2.56247142200463	0.624	0.061	0.0	0	FHL2
0.0	2.56130113090433	0.392	0.026	0.0	0	ADAMTS16
0.0	2.5564722209864	0.599	0.054	0.0	0	MCHR2
0.0	2.51824157338763	0.636	0.067	0.0	0	SLC6A7
0.0	2.50639628105984	0.949	0.167	0.0	0	FSTL4
0.0	2.50534086697672	0.42	0.035	0.0	0	BDNF
0.0	2.49112070469165	0.391	0.021	0.0	0	RP11-154H17.1
0.0	2.48123784556962	0.809	0.11	0.0	0	NGEF
0.0	2.47186465196686	0.454	0.041	0.0	0	RP11-594C13.1
0.0	2.46503045380525	0.667	0.093	0.0	0	TCERG1L
0.0	2.4569065914468	0.637	0.076	0.0	0	AC067956.1
0.0	2.45631248802745	0.406	0.036	0.0	0	RP11-33A14.1
0.0	2.43964405725915	0.844	0.137	0.0	0	RTN4RL1
0.0	2.43743423289585	0.405	0.024	0.0	0	CA4
0.0	2.43565844812332	0.301	0.006	0.0	0	LINC00390
0.0	2.42705068928516	0.892	0.157	0.0	0	ACTN1
0.0	2.40830497114936	0.953	0.194	0.0	0	DGCR5
0.0	2.40822725772676	0.929	0.169	0.0	0	ENC1
0.0	2.40623926119837	0.923	0.164	0.0	0	NDST3
0.0	2.39107802294623	0.651	0.069	0.0	0	PART1
0.0	2.38908968354341	0.408	0.043	0.0	0	RP11-368L12.1
0.0	2.38354528072065	0.703	0.103	0.0	0	UNC5A
0.0	2.37769544294063	0.446	0.043	0.0	0	PDGFD
0.0	2.36397983491955	0.723	0.092	0.0	0	COL24A1
0.0	2.3628262583365	0.468	0.038	0.0	0	CYP1B1-AS1
0.0	2.36000347467478	0.466	0.037	0.0	0	STYK1
