p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0.0	3.74457872012681	0.687	0.032	0.0	2	SST
0.0	3.39912551727003	0.768	0.092	0.0	2	COL25A1
0.0	3.36347079246121	0.665	0.051	0.0	2	ELFN11
0.0	3.24105699966218	0.577	0.047	0.0	2	RAB3B
0.0	3.21165658333517	0.541	0.027	0.0	2	LHX61
0.0	3.20170472811244	0.384	0.008	0.0	2	NMU
0.0	3.20110471119281	0.762	0.098	0.0	2	GRIN3A1
0.0	3.13809134565106	0.525	0.049	0.0	2	NXPH21
0.0	3.02579926578578	0.945	0.171	0.0	2	SYNPR
0.0	3.00823829795303	0.356	0.022	0.0	2	RP11-118B18.11
0.0	3.00221634813754	0.55	0.05	0.0	2	MYO5B
0.0	2.96529523848577	0.336	0.011	0.0	2	KLF5
0.0	2.89047278824114	0.941	0.161	0.0	2	GRIK3
0.0	2.82907369672103	0.504	0.046	0.0	2	TRIM67
0.0	2.7523593234016	0.487	0.051	0.0	2	CCDC109B
0.0	2.7258847393879	0.513	0.07	0.0	2	CMTM8
0.0	2.71787649569009	0.378	0.028	0.0	2	PNOC
0.0	2.70655042112871	0.488	0.048	0.0	2	PAWR1
0.0	2.70046732400793	0.366	0.023	0.0	2	MAFB1
0.0	2.69437935782818	0.633	0.09	0.0	2	NRIP31
0.0	2.69060000969053	0.699	0.1	0.0	2	ANKRD55
0.0	2.65838641882864	0.996	0.328	0.0	2	GRIK11
0.0	2.64097906635471	0.278	0.03	0.0	2	CALB1
0.0	2.6334142933943	0.658	0.108	0.0	2	TOX21
0.0	2.61984036200035	0.266	0.024	0.0	2	TAC1
0.0	2.61140117379153	0.745	0.103	0.0	2	ANK11
0.0	2.61069178608176	0.273	0.021	0.0	2	OTOF
0.0	2.59929548287542	0.58	0.082	0.0	2	FLT3
0.0	2.59269431534596	0.537	0.058	0.0	2	ARX1
0.0	2.59161544223962	0.828	0.182	0.0	2	ELAVL21
0.0	2.5601244630925	0.373	0.052	0.0	2	FBN2
0.0	2.52211417342431	0.258	0.014	0.0	2	RSPO3
0.0	2.52198209072739	0.764	0.16	0.0	2	LRP81
0.0	2.51539108874	0.488	0.071	0.0	2	RP11-467K18.2
0.0	2.50846169659857	0.735	0.139	0.0	2	PLCH12
0.0	2.49241448548224	0.502	0.076	0.0	2	SIAH31
0.0	2.48153190082072	0.497	0.083	0.0	2	CDH71
0.0	2.45353404282347	0.437	0.072	0.0	2	SLC27A6
0.0	2.43945658203448	0.992	0.225	0.0	2	NXPH11
0.0	2.42631706623531	0.967	0.263	0.0	2	RP11-123O10.41
0.0	2.41154117505485	0.398	0.07	0.0	2	DKK2
0.0	2.40891273167433	0.796	0.203	0.0	2	SHISA6
0.0	2.40618937587102	0.74	0.161	0.0	2	HUNK1
0.0	2.4038802732368	0.463	0.065	0.0	2	CACNA2D21
0.0	2.36509391629798	0.693	0.161	0.0	2	EPHB61
0.0	2.36315515391415	0.828	0.155	0.0	2	GAD11
0.0	2.32062810866522	0.387	0.053	0.0	2	RP5-1024G6.8
0.0	2.31041893006372	0.832	0.208	0.0	2	MPPED11
0.0	2.30703994519227	0.714	0.152	0.0	2	FRMD3
0.0	2.30513224553703	0.508	0.104	0.0	2	RP1-78O14.13
0.0	2.28878084648994	0.585	0.136	0.0	2	MARCH112
0.0	2.27345863403247	0.333	0.032	0.0	2	DLX1
0.0	2.26864058992354	0.636	0.095	0.0	2	GAD2
0.0	2.26024406753052	0.741	0.167	0.0	2	PTCHD42
0.0	2.25934420094901	0.964	0.287	0.0	2	GRIP11
0.0	2.25235602623399	0.891	0.234	0.0	2	BCL11A2
0.0	2.24639935510496	0.849	0.223	0.0	2	TENM11
0.0	2.23861954658775	0.779	0.205	0.0	2	MARCH42
0.0	2.22571177554796	0.278	0.025	0.0	2	FAM20A1
0.0	2.20161746412739	0.32	0.022	0.0	2	FAM89A
0.0	2.20061798094396	0.712	0.171	0.0	2	TSHZ32
0.0	2.19716565269836	0.552	0.123	0.0	2	AC007796.12
0.0	2.19674369629404	0.348	0.066	0.0	2	TRPC61
0.0	2.19172020213958	0.621	0.119	0.0	2	BCL11B1
0.0	2.18861972957473	0.893	0.256	0.0	2	CDH92
0.0	2.17764543645983	0.392	0.067	0.0	2	NPAS1
0.0	2.17197282341519	0.277	0.036	0.0	2	CTC-459I6.11
0.0	2.17082428122093	0.971	0.31	0.0	2	KIF26B2
0.0	2.16131711751157	0.515	0.141	0.0	2	SLC24A41
0.0	2.15545617627615	0.854	0.26	0.0	2	NETO22
0.0	2.1537874662054	0.313	0.046	0.0	2	SLC9A2
0.0	2.15147519976457	0.929	0.266	0.0	2	SNRPN2
0.0	2.14989481731158	0.994	0.391	0.0	2	KIAA12173
0.0	2.14545213208822	0.589	0.089	0.0	2	IGF12
0.0	2.14450962553578	0.503	0.103	0.0	2	RP11-867G2.81
0.0	2.13000201374664	0.801	0.186	0.0	2	UBASH3B2
0.0	2.12511819112645	0.772	0.199	0.0	2	OSBPL102
0.0	2.12111731352879	0.886	0.304	0.0	2	ZNF385D2
0.0	2.12019024556364	0.402	0.113	0.0	2	EYS2
0.0	2.11863330922176	0.365	0.061	0.0	2	PTPRU
0.0	2.09949305494461	0.768	0.237	0.0	2	PCDH11X1
0.0	2.08936347770114	0.641	0.195	0.0	2	TRHDE1
0.0	2.07871096929158	0.343	0.063	0.0	2	GREM2
0.0	2.07254354595558	0.562	0.134	0.0	2	RSPO22
0.0	2.06848660272343	0.947	0.329	0.0	2	TENM32
0.0	2.05422888333409	0.272	0.031	0.0	2	RP11-284N8.3
0.0	2.04396711107179	0.574	0.114	0.0	2	NTN41
0.0	2.0383186932928	0.596	0.151	0.0	2	KCNC12
0.0	2.03511554733592	0.839	0.218	0.0	2	WLS3
0.0	2.02209678755963	0.679	0.141	0.0	2	VAV21
0.0	2.01661606876386	0.477	0.105	0.0	2	TRPC42
0.0	2.00494841273294	0.402	0.086	0.0	2	CHRM2
0.0	1.99098790809971	0.756	0.23	0.0	2	TMTC13
0.0	1.97985605524763	0.623	0.197	0.0	2	UNC13C2
0.0	1.97641329346546	0.581	0.156	0.0	2	GALNT142
0.0	1.95175625697522	0.567	0.126	0.0	2	ARL4C1
0.0	1.9378169914457	0.866	0.282	0.0	2	RAB3C2
0.0	1.93024456342947	0.925	0.275	0.0	2	SLC24A33
0.0	1.92356611461904	0.418	0.119	0.0	2	SAMD51
0.0	1.90746721326595	0.428	0.097	0.0	2	RELN
0.0	1.90254330812187	0.607	0.166	0.0	2	VSTM2A2
0.0	1.89325829607083	0.695	0.228	0.0	2	COL19A11
