gene	chr	strand	start	end	cell	binvalue	intscore
TTC30B	chr2	-	178413726	178417524	54	16.426985397972526	0.24505529422714403
RBM45	chr2	+	178977163	178994382	54	16.426985397972526	0.25269809945412897
SLC2A13	chr12	-	40148826	40499883	54	16.356572327344683	0.6132854381382425
RTF2	chr20	+	55043640	55093942	54	16.147542818236353	3.0077343487422965
RBM38	chr20	+	55966451	55984386	54	16.147542818236353	1.2613202619755615
CARD19	chr9	+	95858498	95875565	54	15.76645126433957	1.1465889892280212
CENPP	chr9	+	95087749	95377437	54	15.76645126433957	1.2215798466460215
IPPK	chr9	-	95375464	95432413	54	15.76645126433957	0.5162836174159718
WNK2	chr9	+	95947211	96081655	54	15.76645126433957	0.4174533551631757
ZNF484	chr9	-	95606463	95640320	54	15.76645126433957	0.24400022772272023
KCTD3	chr1	+	215740646	215795149	54	15.715506251371384	2.2598462152493215
MPHOSPH6	chr16	-	82181766	82203829	54	15.605971367291737	2.668025762233081
CDH13	chr16	+	82660573	83214630	54	15.605971367291737	1.4713072404600176
DENND1A	chr9	-	126141932	126692417	54	15.22143607744528	0.03693867042200518
STRBP	chr9	-	125883907	126030865	54	15.22143607744528	0.6790910255956433
LCA5L	chr21	-	40777769	40816128	54	15.188859248420135	1.593879829586232
GET1	chr21	+	40752169	40769815	54	15.188859248420135	0.3331926843234618
SH3BGR	chr21	+	40817790	40887433	54	15.188859248420135	1.4813271783590292
BRMS1L	chr14	+	36295543	36341169	54	15.114596397415232	2.254565021056138
EMC2	chr8	+	109455811	109483392	54	14.994265033718973	1.6588272967063815
NACA2	chr17	-	59667783	59668580	54	14.953014183345125	5.442224845887288
TBX2-AS1	chr17	-	59470816	59476967	54	14.953014183345125	0.8651099679210322
IQSEC1	chr3	-	12938541	13009230	54	14.922863103582083	3.276852322511151
MKRN2	chr3	+	12598512	12625210	54	14.922863103582083	0.5234491628658565
TMEM40	chr3	-	12775026	12800758	54	14.922863103582083	1.0828183307389494
UAP1	chr1	+	162531229	162569633	54	14.889599024528428	1.8500644906982888
HSD17B7	chr1	+	162760491	162767932	54	14.889599024528428	1.1537987824811624
NOS1AP	chr1	+	162039480	162340265	54	14.889599024528428	0.7873653861962294
SALL2	chr14	-	21989230	22005255	54	14.828334860961816	1.5300508058896019
EFR3A	chr8	+	132916339	133025886	54	14.643348903122705	1.139158930123036
RBM15	chr1	+	110881944	110889303	54	14.396270289737805	0.34026776327242947
GSTM4	chr1	+	110198697	110204331	54	14.396270289737805	1.744144548729178
CYB561D1	chr1	+	110036657	110043063	54	14.396270289737805	0.11572662485441473
LAMTOR5-AS1	chr1	+	110950430	110958896	54	14.396270289737805	1.0242778187587112
LAMTOR5	chr1	-	110943875	110950546	54	14.396270289737805	1.5805847319056272
AMPD2	chr1	+	110162434	110174677	54	14.396270289737805	0.25330997104371383
TOM1L1	chr17	+	52978051	53015397	54	14.35521342811602	3.2928906844287362
WDR72	chr15	-	53805937	53833049	54	14.028683101377734	1.538908284333746
MTSS1	chr8	-	125563010	125740714	54	13.885410398570698	0.1374980803628011
RNF139	chr8	+	125487007	125500859	54	13.885410398570698	0.8281376923323324
ZNF572	chr8	+	125985536	125991630	54	13.885410398570698	0.23891907963132375
TRMT12	chr8	+	125463060	125465266	54	13.885410398570698	0.47492191284461854
RIPK2	chr8	+	90770043	90803292	54	13.821475050096538	0.9208982116865015
TMEM67	chr8	+	94767071	94830347	54	13.818082819530185	0.3300183291136599
FAM92A	chr8	+	94712777	94743755	54	13.818082819530185	0.7766915472912579
PDP1	chr8	+	94929150	94938296	54	13.818082819530185	0.4311566255262503
NEIL1	chr15	+	75639330	75645320	54	13.725046665121754	0.49879211914242166
IMP3	chr15	-	75931425	75932664	54	13.725046665121754	0.1661491719407467
SNX33	chr15	+	75940252	75954642	54	13.725046665121754	0.3053213824766188
PPCDC	chr15	+	75315930	75343067	54	13.725046665121754	1.1752991015564787
SNUPN	chr15	-	75890423	75918446	54	13.725046665121754	0.06545376631616336
C15orf39	chr15	+	75494222	75504510	54	13.725046665121754	1.0251397554278268
SCAMP2	chr15	-	75136070	75165706	54	13.725046665121754	2.5732885726574835
MPI	chr15	+	75182382	75194560	54	13.725046665121754	0.4387060208967311
SCAMP5	chr15	+	75287903	75313836	54	13.725046665121754	0.8349756493034023
MLKL	chr16	-	74705752	74734760	54	13.642841438033619	0.35093524783813224
FA2H	chr16	-	74746866	74808718	54	13.642841438033619	0.9518299261466814
RNFT1-DT	chr17	+	58042456	58050462	54	13.45917543555203	0.025088397369806732
ACSS1	chr20	-	24986865	25013342	54	13.405673332281866	0.6069236115500871
APMAP	chr20	-	24943560	24973387	54	13.405673332281866	1.0618585175451392
ZNFX1	chr20	-	47862438	47894594	54	13.383704292474052	0.7209356926149927
DDX27	chr20	+	47835831	47860614	54	13.383704292474052	2.895624161604046
PTPRG	chr3	+	61547244	62283284	54	13.381678129918898	0.3788848776456088
UMPS	chr3	+	124449212	124468119	54	13.324602490089715	1.1527571624287638
ZNF148	chr3	-	124944512	125076124	54	13.324602490089715	0.5608291780025464
KALRN	chr3	+	123813527	124394274	54	13.324602490089715	0.6753980180999312
MUC13	chr3	-	124624288	124653595	54	13.324602490089715	1.3511172523387527
RAB5A	chr3	+	19988571	20026667	54	13.183635381473218	2.3508279456614734
LYPLAL1	chr1	+	219347172	219386207	54	13.172114932533137	1.4314218199266098
NDRG1	chr8	-	134249413	134309547	54	13.14194745831562	0.39439407657771686
ST3GAL1	chr8	-	134467090	134584130	54	13.14194745831562	0.216496535837271
WASHC5	chr8	-	126036502	126104034	54	13.072467608241858	1.3102436394017478
NSMCE2	chr8	+	126104064	126194814	54	13.072467608241858	2.150901884607018
SPATA17	chr1	+	217804685	218045038	54	13.051888655905378	1.2765885452578176
IMMP2L	chr7	-	110302699	111202548	54	13.048316574158473	1.7887602645365854
FAM200A	chr7	-	99143922	99149737	54	12.89121410590583	0.9624628626396068
ZNF789	chr7	+	99070512	99079948	54	12.89121410590583	0.20974856434262595
LAMTOR4	chr7	+	99746540	99751826	54	12.89121410590583	1.4547398882452878
ZSCAN21	chr7	+	99647396	99662663	54	12.89121410590583	0.15392718802276803
TAF6	chr7	-	99704692	99716981	54	12.89121410590583	1.6453371748095522
CNPY4	chr7	+	99717256	99723128	54	12.89121410590583	0.33401184502872555
COPS6	chr7	+	99686591	99689810	54	12.89121410590583	0.025331942434399797
ZCWPW1	chr7	-	99998438	100026326	54	12.89121410590583	0.554701100983227
ZKSCAN5	chr7	+	99102284	99132299	54	12.89121410590583	0.5740624248756028
DEPTOR	chr8	+	120885894	121063157	54	12.822769974444292	1.1934581843613725
MTBP	chr8	+	121457658	121535876	54	12.822769974444292	0.2202757443143696
ZSCAN2	chr15	+	85144239	85150116	54	12.808562029957525	1.4603057037152924
ZNF592	chr15	+	85291822	85349676	54	12.808562029957525	0.7191688348168294
ZNF687	chr1	+	151253997	151264648	54	12.79380649145577	0.4770287189381754
VPS72	chr1	-	151148779	151162673	54	12.79380649145577	0.33750168139615067
ZNF687-AS1	chr1	-	151252499	151254405	54	12.79380649145577	1.9837577768997319
OAZ3	chr1	+	151735444	151743806	54	12.79380649145577	0.38553659348690356
TDRKH	chr1	-	151744043	151762976	54	12.79380649145577	0.04167428643305756
MLLT11	chr1	+	151032872	151042020	54	12.79380649145577	1.1241687208297688
TDRKH-AS1	chr1	+	151763224	151764146	54	12.79380649145577	0.9627233664861367
PSMD4	chr1	+	151227209	151239936	54	12.79380649145577	2.751424802783534
THEM4	chr1	-	151843342	151881987	54	12.79380649145577	0.41799846353429515
CSTF1	chr20	+	54967426	54979582	54	12.786678033890652	0.3466785958070167
TTC33	chr5	-	40711677	40756063	54	12.74420315113283	1.914907330809728
PTPN1	chr20	+	49126857	49201300	54	12.717676423066395	0.47740767715661536
MOCS3	chr20	+	49575354	49580466	54	12.717676423066395	0.09564770032468363
KCNG1	chr20	-	49620192	49639644	54	12.717676423066395	0.552632303815326
NUDCD1	chr8	-	110253147	110342162	54	12.717033749490891	1.2772008282200409
PCAT1	chr8	+	128025398	128033259	54	12.653292945382814	0.12789477443827027
C5orf51	chr5	+	41904445	41921738	54	12.63254087654689	0.5513875018437904
FBXO4	chr5	+	41925353	41941672	54	12.63254087654689	0.478508177255333
ARL14EP	chr11	+	30344650	30359770	54	12.583082767502933	0.6710312069164667
CNKSR3	chr6	-	154708648	154831819	54	12.578608560737752	0.4548095659278268
XXYLT1	chr3	-	194789007	194968649	54	12.573647187493322	0.1285606514235077
LRRC15	chr3	-	194075977	194090472	54	12.573647187493322	4.352473869069933
